NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Jubilee,E05000203,392.83300,0.00000,E09000010,Enfield,117078,35
Ponders End,E05000206,354.29600,0.00000,E09000010,Enfield,117081,69
Enfield Highway,E05000198,463.65300,0.00000,E09000010,Enfield,117082,41
Bowes,E05000193,148.33700,0.00000,E09000010,Enfield,117073,75
Southgate Green,E05000209,261.35100,0.00000,E09000010,Enfield,117072,68
Southgate,E05000208,268.72700,0.00000,E09000010,Enfield,117066,41
Haselbury,E05000201,179.60200,0.00000,E09000010,Enfield,117084,22
Bush Hill Park,E05000194,252.44900,0.00000,E09000010,Enfield,117070,29
Town,E05000210,223.14000,0.00000,E09000010,Enfield,117080,25
Southbury,E05000207,286.70400,0.00000,E09000010,Enfield,117079,78
Turkey Street,E05000211,226.15000,0.00000,E09000010,Enfield,117083,61
Enfield Lock,E05000199,325.23100,0.00000,E09000010,Enfield,50605,28
Leyton,E05000604,203.21800,0.00000,E09000031,Waltham Forest,50808,66
High Street,E05000599,305.89300,0.00000,E09000031,Waltham Forest,50677,52
Higham Hill,E05000600,322.12400,0.00000,E09000031,Waltham Forest,50613,41
Valley,E05000607,198.48200,0.00000,E09000031,Waltham Forest,50612,53
Chingford Green,E05000593,372.66400,0.00000,E09000031,Waltham Forest,50614,41
Cathall,E05000591,105.71200,0.00000,E09000031,Waltham Forest,50807,27
Lea Bridge,E05000603,264.68600,0.00000,E09000031,Waltham Forest,50683,109
Markhouse,E05000606,145.70400,0.00000,E09000031,Waltham Forest,50692,20
Grove Green,E05000596,89.58200,0.00000,E09000031,Waltham Forest,50685,21
Forest,E05000595,198.60500,0.00000,E09000031,Waltham Forest,51314,47
William Morris,E05000608,99.91900,0.00000,E09000031,Waltham Forest,50690,32
Hoe Street,E05000601,110.00600,0.00000,E09000031,Waltham Forest,50686,45
Wood Street,E05000609,185.01100,0.00000,E09000031,Waltham Forest,50688,47
Chapel End,E05000592,185.01500,0.00000,E09000031,Waltham Forest,50689,48
Hale End and Highams Park,E05000597,234.68900,0.00000,E09000031,Waltham Forest,50603,34
Cann Hall,E05000590,85.78800,0.00000,E09000031,Waltham Forest,51317,16
Larkswood,E05000602,206.57000,0.00000,E09000031,Waltham Forest,50601,11
Endlebury,E05000594,194.91200,0.00000,E09000031,Waltham Forest,50602,28
Hatch Lane,E05000598,241.62100,0.00000,E09000031,Waltham Forest,51311,11
Leytonstone,E05000605,130.59100,0.00000,E09000031,Waltham Forest,51313,57
Wanstead,E05000515,519.13300,0.00000,E09000026,Redbridge,116755,58
Cranbrook,E05000502,240.07900,0.00000,E09000026,Redbridge,51304,86
Newbury,E05000510,212.02300,0.00000,E09000026,Redbridge,51302,67
Roding,E05000511,236.29700,0.00000,E09000026,Redbridge,51306,48
Fairlop,E05000503,359.56900,0.00000,E09000026,Redbridge,51300,42
Goodmayes,E05000505,164.03400,0.00000,E09000026,Redbridge,51293,39
Aldborough,E05000495,859.97400,0.00000,E09000026,Redbridge,51299,58
Bridge,E05000497,257.86000,0.00000,E09000026,Redbridge,50604,18
Hainault,E05000506,565.28700,0.00000,E09000026,Redbridge,51288,32
Loxford,E05000507,128.82300,2.30000,E09000026,Redbridge,51354,65
Clementswood,E05000501,127.21500,0.00000,E09000026,Redbridge,51303,55
Mayfield,E05000508,188.21700,0.00000,E09000026,Redbridge,51292,34
Valentines,E05000514,150.32800,0.00000,E09000026,Redbridge,51307,55
Seven Kings,E05000512,208.33800,0.00000,E09000026,Redbridge,51291,65
Snaresbrook,E05000513,198.51600,0.00000,E09000026,Redbridge,116756,18
Clayhall,E05000500,249.38900,0.00000,E09000026,Redbridge,51305,60
Church End,E05000499,148.49600,0.00000,E09000026,Redbridge,51312,37
Barkingside,E05000496,152.92000,0.00000,E09000026,Redbridge,51308,42
Fullwell,E05000504,218.78700,0.00000,E09000026,Redbridge,51309,25
Chadwell,E05000498,151.26300,0.00000,E09000026,Redbridge,51290,22
Monkhams,E05000509,307.67600,0.00000,E09000026,Redbridge,51310,36
Carshalton South and Clockhouse,E05000559,705.34200,0.00000,E09000029,Sutton,116887,22
