NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,CountJunctions_y,WardArea_y,JunctionRatio_y
Brunel,E05000326,327.691,0,E09000017,Hillingdon,51033,241,3276877,0.000073545
Uxbridge North,E05000340,464.118,0,E09000017,Hillingdon,51032,278,4641169,0.000059898
Hillingdon East,E05000332,359.812,0,E09000017,Hillingdon,116723,269,3598128,0.000074761
Ickenham,E05000333,620.442,0,E09000017,Hillingdon,51031,231,6204430,0.000037231
West Ruislip,E05000343,438.74,0,E09000017,Hillingdon,51023,233,4387401,0.000053106
Northwood,E05000335,739.794,0,E09000017,Hillingdon,51029,252,7397931,0.000034063
South Ruislip,E05000338,741.795,0,E09000017,Hillingdon,116719,325,7417907,0.000043812
Manor,E05000334,197.418,0,E09000017,Hillingdon,51022,244,1974144,0.000123597
Eastcote and East Ruislip,E05000329,406.341,0,E09000017,Hillingdon,116724,220,4063443,0.000054141
Northwood Hills,E05000336,332.91,0,E09000017,Hillingdon,51028,196,3329099,0.000058874
Pinkwell,E05000337,274.833,0,E09000017,Hillingdon,116721,243,2748307,0.000088418
Botwell,E05000325,436.277,0,E09000017,Hillingdon,116717,274,4362806,0.000062803
Charville,E05000328,297.433,0,E09000017,Hillingdon,51098,150,2974323,0.000050431
Townfield,E05000339,349.833,0,E09000017,Hillingdon,51092,225,3498308,0.000064316
Barnhill,E05000324,211.821,0,E09000017,Hillingdon,51097,189,2118237,0.000089225
Yeading,E05000344,232.126,0,E09000017,Hillingdon,51090,192,2321229,0.000082714
Cavendish,E05000327,201.145,0,E09000017,Hillingdon,51021,200,2011439,0.000099431
Roxeth,E05000302,157.492,0,E09000015,Harrow,51083,126,1574928,0.000080003
Harrow on the Hill,E05000289,357.209,0,E09000015,Harrow,50518,250,3572086,0.000069987
Pinner,E05000297,327.686,0,E09000015,Harrow,51019,177,3276849,0.000054015
Pinner South,E05000298,234.561,0,E09000015,Harrow,51020,153,2345614,0.000065228
Greenhill,E05000288,174.49,0,E09000015,Harrow,51077,186,1744879,0.000106597
Headstone North,E05000292,329.634,0,E09000015,Harrow,51027,168,3296331,0.000050965
Marlborough,E05000296,164.663,0,E09000015,Harrow,51078,153,1646604,0.000092918
Harrow Weald,E05000290,458.973,0,E09000015,Harrow,51015,186,4589702,0.000040525
Stanmore Park,E05000303,445.929,0,E09000015,Harrow,50516,272,4459264,0.000060996
Canons,E05000286,562.632,0,E09000015,Harrow,116972,256,5626371,0.0000455
Rayners Lane,E05000300,152.974,0,E09000015,Harrow,50957,221,1529736,0.000144469
Roxbourne,E05000301,150.576,0,E09000015,Harrow,51082,198,1505755,0.000131495
West Harrow,E05000305,151.462,0,E09000015,Harrow,51026,93,1514646,0.0000614
Hatch End,E05000291,327.866,0,E09000015,Harrow,51014,230,3278671,0.00007015
Headstone South,E05000293,146.764,0,E09000015,Harrow,51080,113,1467633,0.000076994
Kenton West,E05000295,176.456,0,E09000015,Harrow,50514,83,1764597,0.000047036
Wealdstone,E05000304,119.595,0,E09000015,Harrow,51079,130,1195976,0.000108697
Belmont,E05000285,177.704,0,E09000015,Harrow,116973,110,1777022,0.000061901
Kenton East,E05000294,127.926,0,E09000015,Harrow,50511,121,1279286,0.000094584
Queensbury,E05000299,161.364,0,E09000015,Harrow,116974,155,1613611,0.000096057
Edgware,E05000287,140.319,0,E09000015,Harrow,116975,137,1403186,0.000097635
Northwick Park,E05000096,267.991,0,E09000005,Brent,51109,184,2679938,0.000068658
Wembley Central,E05000104,160.424,0,E09000005,Brent,51105,142,1604224,0.000088516
Preston,E05000097,238.828,0,E09000005,Brent,51071,178,2388248,0.000074531
Stonebridge,E05000100,405.063,0,E09000005,Brent,116943,280,4050631,0.000069125
Welsh Harp,E05000103,231.897,0,E09000005,Brent,116949,266,2318944,0.000114707
Barnhill,E05000086,297.908,0,E09000005,Brent,116945,242,2979037,0.000081234
Fryent,E05000090,265.938,0,E09000005,Brent,116950,221,2659395,0.000083101
Sudbury,E05000101,212.48,0,E09000005,Brent,116944,157,2124778,0.00007389
Alperton,E05000085,205.853,0,E09000005,Brent,51069,229,2058549,0.000111243
Kensal Green,E05000092,112.008,0,E09000005,Brent,116951,116,1120049,0.000103566
Harlesden,E05000091,111.37,0,E09000005,Brent,116952,124,1113706,0.00011134
Willesden Green,E05000105,154.803,0,E09000005,Brent,50490,120,1548053,0.000077516
Queens Park,E05000098,148.562,0,E09000005,Brent,116947,114,1485633,0.000076735
Brondesbury Park,E05000087,172.942,0,E09000005,Brent,116953,138,1729413,0.000079795
Kilburn,E05000094,94.4,0,E09000005,Brent,50487,108,943995,0.000114407
Tokyngton,E05000102,275.917,0,E09000005,Brent,51104,242,2759199,0.000087706
Kenton,E05000093,224.315,0,E09000005,Brent,116946,178,2243129,0.000079353
Dudden Hill,E05000089,168.144,0,E09000005,Brent,116948,165,1681458,0.000098129
Dollis Hill,E05000088,229.956,0,E09000005,Brent,50548,164,2299551,0.000071318
Mapesbury,E05000095,139.347,0,E09000005,Brent,50489,129,1393466,0.000092574
Queensbury,E05000099,205.124,0,E09000005,Brent,50512,217,2051245,0.000105789
Underhill,E05000060,455.053,0,E09000003,Barnet,116789,238,4550549,0.000052301
High Barnet,E05000056,830.666,0,E09000003,Barnet,116787,339,8306624,0.00004081
West Hendon,E05000062,342.865,0,E09000003,Barnet,51065,250,3428659,0.000072914
Golders Green,E05000053,297.292,0,E09000003,Barnet,116790,252,2972918,0.000084765
Colindale,E05000046,263.627,0,E09000003,Barnet,51066,202,2636245,0.000076624
Childs Hill,E05000045,309.301,0,E09000003,Barnet,50578,231,3093001,0.000074684
Garden Suburb,E05000052,472.705,0,E09000003,Barnet,119325,359,4727041,0.000075946
Finchley Church End,E05000051,272.564,0,E09000003,Barnet,116791,270,2725662,0.000099058
East Finchley,E05000049,250.989,0,E09000003,Barnet,50492,294,2509887,0.000117136
Edgware,E05000050,555.652,0,E09000003,Barnet,50509,253,5556466,0.000045532
Mill Hill,E05000057,938.921,0,E09000003,Barnet,116788,406,9389235,0.000043241
Hale,E05000054,542.315,0,E09000003,Barnet,116792,243,5423194,0.000044807
Totteridge,E05000059,877.446,0,E09000003,Barnet,123573,259,8774457,0.000029517
Oakleigh,E05000058,331.861,0,E09000003,Barnet,50501,289,3318593,0.000087085
Woodhouse,E05000063,262.117,0,E09000003,Barnet,116794,275,2621158,0.000104915
Coppetts,E05000047,272.058,0,E09000003,Barnet,116795,219,2720603,0.000080496
Brunswick Park,E05000043,317.526,0,E09000003,Barnet,50500,298,3175249,0.00009385
East Barnet,E05000048,374.943,0,E09000003,Barnet,50507,275,3749403,0.000073345
Burnt Oak,E05000044,206.719,0,E09000003,Barnet,51073,193,2067227,0.000093361
Hendon,E05000055,283.871,0,E09000003,Barnet,50547,278,2838694,0.000097932
West Finchley,E05000061,216.344,0,E09000003,Barnet,116793,251,2163448,0.000116018
Streatham South,E05000431,169.809,0,E09000022,Lambeth,50786,152,1698068,0.000089513
St. Leonard's,E05000428,144.773,0,E09000022,Lambeth,51191,148,1447728,0.000102229
Streatham Wells,E05000432,144.978,0,E09000022,Lambeth,51190,145,1449790,0.000100014
