NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Queens Park,E05000098,148.56200,0.00000,E09000005,Brent,116947,8
Brondesbury Park,E05000087,172.94200,0.00000,E09000005,Brent,116953,6
Kilburn,E05000094,94.40000,0.00000,E09000005,Brent,50487,10
Tokyngton,E05000102,275.91700,0.00000,E09000005,Brent,51104,13
Kenton,E05000093,224.31500,0.00000,E09000005,Brent,116946,6
Dudden Hill,E05000089,168.14400,0.00000,E09000005,Brent,116948,4
Dollis Hill,E05000088,229.95600,0.00000,E09000005,Brent,50548,7
Mapesbury,E05000095,139.34700,0.00000,E09000005,Brent,50489,6
Queensbury,E05000099,205.12400,0.00000,E09000005,Brent,50512,8
Underhill,E05000060,455.05300,0.00000,E09000003,Barnet,116789,6
High Barnet,E05000056,830.66600,0.00000,E09000003,Barnet,116787,4
West Hendon,E05000062,342.86500,0.00000,E09000003,Barnet,51065,14
Golders Green,E05000053,297.29200,0.00000,E09000003,Barnet,116790,11
Colindale,E05000046,263.62700,0.00000,E09000003,Barnet,51066,7
Childs Hill,E05000045,309.30100,0.00000,E09000003,Barnet,50578,12
Garden Suburb,E05000052,472.70500,0.00000,E09000003,Barnet,119325,9
Finchley Church End,E05000051,272.56400,0.00000,E09000003,Barnet,116791,2
East Finchley,E05000049,250.98900,0.00000,E09000003,Barnet,50492,9
Edgware,E05000050,555.65200,0.00000,E09000003,Barnet,50509,7
Mill Hill,E05000057,938.92100,0.00000,E09000003,Barnet,116788,14
Hale,E05000054,542.31500,0.00000,E09000003,Barnet,116792,5
Totteridge,E05000059,877.44600,0.00000,E09000003,Barnet,123573,9
Oakleigh,E05000058,331.86100,0.00000,E09000003,Barnet,50501,9
Woodhouse,E05000063,262.11700,0.00000,E09000003,Barnet,116794,12
Coppetts,E05000047,272.05800,0.00000,E09000003,Barnet,116795,11
Brunswick Park,E05000043,317.52600,0.00000,E09000003,Barnet,50500,2
East Barnet,E05000048,374.94300,0.00000,E09000003,Barnet,50507,5
Burnt Oak,E05000044,206.71900,0.00000,E09000003,Barnet,51073,13
Hendon,E05000055,283.87100,0.00000,E09000003,Barnet,50547,24
West Finchley,E05000061,216.34400,0.00000,E09000003,Barnet,116793,12
Streatham South,E05000431,169.80900,0.00000,E09000022,Lambeth,50786,6
St. Leonard's,E05000428,144.77300,0.00000,E09000022,Lambeth,51191,21
Streatham Wells,E05000432,144.97800,0.00000,E09000022,Lambeth,51190,10
Knight's Hill,E05000424,147.16600,0.00000,E09000022,Lambeth,117361,11
Thornton,E05000433,107.75900,0.00000,E09000022,Lambeth,117357,2
Streatham Hill,E05000430,127.06300,0.00000,E09000022,Lambeth,117358,9
Clapham Common,E05000418,133.85400,0.00000,E09000022,Lambeth,51276,10
Brixton Hill,E05000417,113.12400,0.00000,E09000022,Lambeth,117363,11
Tulse Hill,E05000435,103.19500,0.00000,E09000022,Lambeth,117359,7
Coldharbour,E05000420,120.80600,0.00000,E09000022,Lambeth,117364,28
Ferndale,E05000421,85.07300,0.00000,E09000022,Lambeth,50790,21
Larkhall,E05000425,106.12400,0.00000,E09000022,Lambeth,50793,16
Oval,E05000426,127.76400,3.58600,E09000022,Lambeth,117366,18
Vassall,E05000436,112.97300,0.00000,E09000022,Lambeth,51224,6
Gipsy Hill,E05000422,157.06700,0.00000,E09000022,Lambeth,51228,3
Thurlow Park,E05000434,151.48200,0.00000,E09000022,Lambeth,117362,9
Herne Hill,E05000423,203.03800,0.00000,E09000022,Lambeth,117360,14
Bishop's,E05000416,153.95900,30.25800,E09000022,Lambeth,51177,17
Clapham Town,E05000419,111.89300,0.00000,E09000022,Lambeth,50816,8
Stockwell,E05000429,86.67800,0.00000,E09000022,Lambeth,117365,13
Prince's,E05000427,116.36300,10.08300,E09000022,Lambeth,51181,13
College,E05000538,323.32400,0.00000,E09000028,Southwark,51229,6
Riverside,E05000548,132.82200,28.57400,E09000028,Southwark,51236,12
Village,E05000554,278.74500,0.00000,E09000028,Southwark,117345,2
South Camberwell,E05000551,133.14900,0.00000,E09000028,Southwark,117350,2
East Dulwich,E05000539,102.06900,0.00000,E09000028,Southwark,51269,8
Peckham Rye,E05000547,225.24200,0.00000,E09000028,Southwark,117346,4
Camberwell Green,E05000535,97.46100,0.00000,E09000028,Southwark,117353,16
Brunswick Park,E05000534,93.44100,0.00000,E09000028,Southwark,51222,3
The Lane,E05000553,138.88800,0.00000,E09000028,Southwark,117351,20
Nunhead,E05000545,132.84000,0.00000,E09000028,Southwark,117352,8
Peckham,E05000546,86.96600,0.00000,E09000028,Southwark,51170,3
Newington,E05000544,83.35800,0.00000,E09000028,Southwark,51180,12
Faraday,E05000541,87.81500,0.00000,E09000028,Southwark,51169,8
East Walworth,E05000540,114.66200,0.00000,E09000028,Southwark,117348,24
Livesey,E05000543,143.83200,0.00000,E09000028,Southwark,117347,6
South Bermondsey,E05000550,97.36300,0.00000,E09000028,Southwark,51172,6
Cathedrals,E05000536,176.82200,18.58400,E09000028,Southwark,117349,30
