NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Cray Valley East,E05000114,1327.86600,0.00000,E09000006,Bromley,117274,30
Bedfont,E05000346,444.84100,0.00000,E09000018,Hounslow,51131,25
Hanworth,E05000353,323.25800,0.00000,E09000018,Hounslow,51122,31
Cranford,E05000350,272.63000,0.00000,E09000018,Hounslow,51125,73
Syon,E05000364,285.37800,13.18700,E09000018,Hounslow,117104,37
Heston West,E05000357,382.65700,0.00000,E09000018,Hounslow,51133,40
Heston East,E05000356,205.91300,0.00000,E09000018,Hounslow,117113,30
Osterley and Spring Grove,E05000363,627.78400,0.00000,E09000018,Hounslow,117103,42
Brentford,E05000347,318.35100,3.26300,E09000018,Hounslow,117105,56
Chiswick Homefields,E05000348,225.92300,22.28600,E09000018,Hounslow,117106,40
Feltham West,E05000352,318.10500,0.00000,E09000018,Hounslow,117107,20
Hanworth Park,E05000354,366.12600,0.00000,E09000018,Hounslow,51123,36
Feltham North,E05000351,338.44800,0.00000,E09000018,Hounslow,117102,45
Hounslow Heath,E05000359,278.17800,0.00000,E09000018,Hounslow,117108,36
Hounslow West,E05000361,162.01800,0.00000,E09000018,Hounslow,117109,26
Heston Central,E05000355,168.47800,0.00000,E09000018,Hounslow,117112,27
Hounslow South,E05000360,179.01100,0.00000,E09000018,Hounslow,117110,7
Isleworth,E05000362,203.08900,6.43600,E09000018,Hounslow,117111,15
Hounslow Central,E05000358,173.39300,0.00000,E09000018,Hounslow,117116,25
Chiswick Riverside,E05000349,208.00700,15.58400,E09000018,Hounslow,117114,23
Turnham Green,E05000365,176.95300,0.00000,E09000018,Hounslow,117115,52
Norwood Green,E05000186,379.60900,0.00000,E09000009,Ealing,116744,34
Southall Green,E05000190,158.61600,0.00000,E09000009,Ealing,51134,24
Northolt West End,E05000185,354.53600,0.00000,E09000009,Ealing,51089,51
Dormers Wells,E05000172,225.73000,0.00000,E09000009,Ealing,116745,21
Greenford Broadway,E05000177,251.66900,0.00000,E09000009,Ealing,116746,48
North Greenford,E05000183,325.73700,0.00000,E09000009,Ealing,71036,21
Northfield,E05000182,154.01100,0.00000,E09000009,Ealing,50524,12
East Acton,E05000175,427.58800,0.00000,E09000009,Ealing,116749,93
Southall Broadway,E05000189,161.72500,0.00000,E09000009,Ealing,51091,36
Elthorne,E05000176,199.96300,0.00000,E09000009,Ealing,51087,32
Walpole,E05000192,146.59600,0.00000,E09000009,Ealing,51112,30
Lady Margaret,E05000181,154.18200,0.00000,E09000009,Ealing,50955,19
Northolt Mandeville,E05000184,275.66400,0.00000,E09000009,Ealing,51013,60
Hobbayne,E05000180,220.93700,0.00000,E09000009,Ealing,51086,8
Cleveland,E05000171,222.85600,0.00000,E09000009,Ealing,50521,20
Greenford Green,E05000178,338.47700,0.00000,E09000009,Ealing,116747,58
Perivale,E05000187,336.77500,0.00000,E09000009,Ealing,51106,50
Ealing Common,E05000174,214.10600,0.00000,E09000009,Ealing,51111,58
Ealing Broadway,E05000173,185.67600,0.00000,E09000009,Ealing,51110,18
