NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Northwood,E05000335,739.79400,0.00000,E09000017,Hillingdon,51029,6
South Ruislip,E05000338,741.79500,0.00000,E09000017,Hillingdon,116719,8
Manor,E05000334,197.41800,0.00000,E09000017,Hillingdon,51022,8
Eastcote and East Ruislip,E05000329,406.34100,0.00000,E09000017,Hillingdon,116724,5
Northwood Hills,E05000336,332.85400,0.00000,E09000017,Hillingdon,51028,2
Pinkwell,E05000337,274.83300,0.00000,E09000017,Hillingdon,116721,14
Botwell,E05000325,436.27700,0.00000,E09000017,Hillingdon,116717,7
Charville,E05000328,297.43300,0.00000,E09000017,Hillingdon,51098,4
Townfield,E05000339,349.83300,0.00000,E09000017,Hillingdon,51092,38
Barnhill,E05000324,211.82100,0.00000,E09000017,Hillingdon,51097,8
Yeading,E05000344,232.12600,0.00000,E09000017,Hillingdon,51090,23
Cavendish,E05000327,201.14500,0.00000,E09000017,Hillingdon,51021,6
Roxeth,E05000302,157.49200,0.00000,E09000015,Harrow,51083,4
Harrow on the Hill,E05000289,357.20900,0.00000,E09000015,Harrow,50518,16
Pinner,E05000297,327.74200,0.00000,E09000015,Harrow,51019,3
Pinner South,E05000298,234.56100,0.00000,E09000015,Harrow,51020,1
Greenhill,E05000288,174.49000,0.00000,E09000015,Harrow,51077,13
Headstone North,E05000292,329.63400,0.00000,E09000015,Harrow,51027,6
Marlborough,E05000296,164.66300,0.00000,E09000015,Harrow,51078,3
Harrow Weald,E05000290,458.97300,0.00000,E09000015,Harrow,51015,13
Stanmore Park,E05000303,445.92900,0.00000,E09000015,Harrow,50516,5
Canons,E05000286,562.63200,0.00000,E09000015,Harrow,116972,14
Rayners Lane,E05000300,152.97400,0.00000,E09000015,Harrow,50957,7
Roxbourne,E05000301,150.57600,0.00000,E09000015,Harrow,51082,1
West Harrow,E05000305,151.46200,0.00000,E09000015,Harrow,51026,2
Hatch End,E05000291,327.86600,0.00000,E09000015,Harrow,51014,4
Headstone South,E05000293,146.76400,0.00000,E09000015,Harrow,51080,7
Kenton West,E05000295,176.45600,0.00000,E09000015,Harrow,50514,0
Wealdstone,E05000304,119.59500,0.00000,E09000015,Harrow,51079,6
Belmont,E05000285,177.70400,0.00000,E09000015,Harrow,116973,0
Kenton East,E05000294,127.92600,0.00000,E09000015,Harrow,50511,7
Queensbury,E05000299,161.36400,0.00000,E09000015,Harrow,116974,14
Edgware,E05000287,140.31900,0.00000,E09000015,Harrow,116975,9
Northwick Park,E05000096,267.99100,0.00000,E09000005,Brent,51109,5
Wembley Central,E05000104,160.42400,0.00000,E09000005,Brent,51105,16
Preston,E05000097,238.82800,0.00000,E09000005,Brent,51071,9
Stonebridge,E05000100,405.06300,0.00000,E09000005,Brent,116943,34
Welsh Harp,E05000103,231.89700,0.00000,E09000005,Brent,116949,14
Barnhill,E05000086,297.90800,0.00000,E09000005,Brent,116945,9
Fryent,E05000090,265.93800,0.00000,E09000005,Brent,116950,9
Sudbury,E05000101,212.48000,0.00000,E09000005,Brent,116944,12
Alperton,E05000085,205.85300,0.00000,E09000005,Brent,51069,11
Kensal Green,E05000092,112.00800,0.00000,E09000005,Brent,116951,6
Harlesden,E05000091,111.37000,0.00000,E09000005,Brent,116952,23
Willesden Green,E05000105,154.80300,0.00000,E09000005,Brent,50490,9
Queens Park,E05000098,148.56200,0.00000,E09000005,Brent,116947,4
Brondesbury Park,E05000087,172.94200,0.00000,E09000005,Brent,116953,6
Kilburn,E05000094,94.40000,0.00000,E09000005,Brent,50487,12
Tokyngton,E05000102,275.91700,0.00000,E09000005,Brent,51104,18
Kenton,E05000093,224.31500,0.00000,E09000005,Brent,116946,13
Dudden Hill,E05000089,168.14400,0.00000,E09000005,Brent,116948,7
Dollis Hill,E05000088,229.95600,0.00000,E09000005,Brent,50548,6
Mapesbury,E05000095,139.34700,0.00000,E09000005,Brent,50489,12
Queensbury,E05000099,205.12400,0.00000,E09000005,Brent,50512,7
Underhill,E05000060,455.05300,0.00000,E09000003,Barnet,116789,8
High Barnet,E05000056,830.66600,0.00000,E09000003,Barnet,116787,7
West Hendon,E05000062,342.86500,0.00000,E09000003,Barnet,51065,39
Golders Green,E05000053,297.29200,0.00000,E09000003,Barnet,116790,18
Colindale,E05000046,263.62700,0.00000,E09000003,Barnet,51066,10
Childs Hill,E05000045,309.30100,0.00000,E09000003,Barnet,50578,7
Garden Suburb,E05000052,472.70500,0.00000,E09000003,Barnet,119325,17
Finchley Church End,E05000051,272.56400,0.00000,E09000003,Barnet,116791,12
East Finchley,E05000049,250.98900,0.00000,E09000003,Barnet,50492,5
Edgware,E05000050,555.65200,0.00000,E09000003,Barnet,50509,12
Mill Hill,E05000057,938.92100,0.00000,E09000003,Barnet,116788,11
Hale,E05000054,542.31500,0.00000,E09000003,Barnet,116792,15
Totteridge,E05000059,877.44600,0.00000,E09000003,Barnet,123573,14
Oakleigh,E05000058,331.86100,0.00000,E09000003,Barnet,50501,5
Woodhouse,E05000063,262.11700,0.00000,E09000003,Barnet,116794,8
Coppetts,E05000047,272.05800,0.00000,E09000003,Barnet,116795,12
Brunswick Park,E05000043,317.52600,0.00000,E09000003,Barnet,50500,11
East Barnet,E05000048,374.94300,0.00000,E09000003,Barnet,50507,6
Burnt Oak,E05000044,206.71900,0.00000,E09000003,Barnet,51073,10
Hendon,E05000055,283.87100,0.00000,E09000003,Barnet,50547,15
West Finchley,E05000061,216.34400,0.00000,E09000003,Barnet,116793,12
Streatham South,E05000431,169.80900,0.00000,E09000022,Lambeth,50786,11
St. Leonard's,E05000428,144.77300,0.00000,E09000022,Lambeth,51191,12
Streatham Wells,E05000432,144.97800,0.00000,E09000022,Lambeth,51190,5
Knight's Hill,E05000424,147.16600,0.00000,E09000022,Lambeth,117361,11
Thornton,E05000433,107.75900,0.00000,E09000022,Lambeth,117357,1
Streatham Hill,E05000430,127.06300,0.00000,E09000022,Lambeth,117358,12
